acces, access
acess, access
acount, account
accont, account
accoun, account
accoutn, account
accounts, account
accoutning, accounting
acoustical, acoustic
acqusition, acquisition
acquisitions, acquisition
acquistion, acquisition
acquistions, acquisitions
activations, activation
additives, additive
adjuct, adjunct
aministrator, administrator
adminstrator, administrator
administartor, administrator
administravite, administrator
administrat, administrator
administartor, administrator
admnstor, administrator
adminv, admin
admissions, admission
advistory, advisory
affliate, affiliate
analyt, analyst
anlst, analyst
anayst, analyst
ananlyst, analyst
analystr, analyst
aocciate, associate
asociate, associate
appled, apple
applicaton, application
applicatons, application
applications , application
assiatant , assistant
assiistant , assistant
assisatant , assistant
assisitant , assistant
assisstant , assistant
assistanat , assistant
aassistant , assistant
assitant, assistant
assesment , assessment
bigdata, big data
budge , budget
businenss , business
buisness, business
busines, business
businesss, business
bussiness, business
businsess, business
bulding , building
developement , development
operat, operator
initatives, initiatives
proctection, protection
permanente, permanent
operatoin, operation
consultan, consultant
leaison, liaison
secuerity, security
ofiicer, officer
centech, center
centrl, central
cerified, certified
speialist, specialist
offi, officer
projet, project
cheif, chief
superviso, supervisor
technoloogy, technology
supp, support
operastions, operations
diag, diagnostic
sectio, section
treas, treasurer
chief, chief
finacial, financial
offr, officer
technologyt, technology
decsion, decision
visa, vision
unt, unit
generaton, generation
informatiojn, information
tecnical, technical
acqusitions, acquisitions
acohol, alcohol
officerr, officer
securit, security
chife, chief
technololgy, technology
managan, manager
archit, architect
projekt, project
secty, security
securit, security 
chiefl, chief
chieft, chief
clas, class
clinial, clinical
informaticist, informatics
info, information
depatment, department
systemx, systems 
instr, instructor
librar, library
commerical, commercial
commericial, commercial
comml, commercial
depa, department
dep, department
chf, chief
managem, management
compurter, computer
pgmr, programmer
telphone, telephone
consulant, consultant
engenieer, engineer
engr, engineer
suppport, support
inforamtion, information
validatio, validation
coordi, coordinator
teracher, teacher
networing, networking
alanyst, analyst
operater, operator
analyist, analyst
networ, network
technican, technician
ofcr, officer
specalist, specialist
specia, specialist
admi, admin
syst, system
technolog, technology
anlysist, analyst
spt, support
technecian, technician
technicain, technician
technichian, technician
compyter, computer
constr, construction
construcion, construction
connectnd, connected
confirguration, configuration
company, companies
manjager, manager
ser, service
contol, control
comlex, complex
controll, control
convergeed, converged
coontrol, control
coor, coordinator
techn, technician
dist, distributive
sys, systems
inustrial, industrial
cond, condition
ast, assist
inf, information
ofc, officer
educ, education
suppor, support
phys, physical
servic, service
coorparate, corporate
coputer, computer
corperate, corporate
technol, technology
assett, asset
supervior, supervisor
corpotate, corpoate 
communic, communications
solut, solutions
coodinator, coordinator
componets, components
coordinat, coordinate
busienss, business
spclist, specialist
mgt, management
cirriculum, curriculum
secialist, specialist
compensastion, compensation
cente, center
architec, architect
mnager, manager
devliery, delivery
representativ, representative
maanger, manager
supv, supervisor
mngr, manager
communcations, communications
controler, controller
coordg, coordinator
dev, developer
admr, administrator
technolgoy, technology
seniour, senior
sevices, services
storge, storage
warehosue, warehouse
intellegence, intelligence
informatica, information
wareshouse, warehouse
wherehouse, warehouse
whse, warehouse
adm, admin
adminitration, administration
devt, development
modelling, modeling
datacentre, datacenter
asc, associate
sch, school
financia, financial
resrc, resource
departme, department
associa, associate
devt, development
deskop, desktop
techician, technician
telecomunications, telecommunications
developement, development
dierctor, director
dierector, director
dgitial, digital
diisional, divisional
dircetor, driector
dirctor, director
direcotor, director
direcotr, director
officerr, officier
directeur, director
systeme, system
directior, director
directlor, director
directo, director
appication, application
architecures, architecture
prorgram, program
applicatations, applications
intergrat, integration
integrati, integration
computerzation, computerization
comm, communication
tecnology, technology
intergration, integration
mgt, management
entreprise, enterprise
finaince, finance
sollutions, solutions
managemen, management
innovat, innovation
infomation, information
echnology, technology
telcom, telecommunications
sytems, systems
technogy, technology
technolgoy, technology
technolo, technology
technolgy, technology
transformat, transformation
archi, architecture
clien, client
enterp, enterprise
infastructure, infrastructure
inf, infrastructure
infrastucture, infrastructure
technoloiges, technology
infromation, information
instr, instruction
instruconal, instructional
intormation, information
infused, information security
consltants, consultants
infrastracture, infrastructure
infrasturcture, infrastructure
microcmputer, microcomputer
marketi, marketing
technlogyz, technology
helath, health
developemnt, development
divis, division
radition, radiation
rsc, risk
technol, technology
comtech, communication technology
dvlpmnt, development
protyping, prototyping
devel, development
architectu, architecture
intergration, integration
admininistration, administration
interaces, interface
proffesional, professional
engieering, engineering
seervices, services
sysytems, systems
reimbrusement, reimbursement
departm, department
advaned, advanced
owne, owner
serviceses, services
infdirectormation, director information
telcommunications, telecommunications
telecommunicat, telecommunications
telecommunicatio, telecommunications
counsulting, consulting
commericial, commercial
outsou, outsource
transp, transportation
manafacturing, manufactoring
engrg, engineer
commercila, commercial
directeur, director
admiss, admissions
mdr, manager
appplications, applications
clnical, clinical
pharm, pharmacy
technologie, technology
servs, services
crytology, cryptology
opps, operations
subontract, subcontract
engineereing, engineering
secur, security
fclts, facilities
finace, finance
regualtory, regulatory
complianc, compliance
infratructure, infrastructure
host, hospital
applic, application
servcies, services
presi, president
srvcs, services
soln, solutions
engenering, engineering
advicer, adviser
netw, network
applicat, application
develoit, development
managerent, management
assuranc, assurance
auditi, audit
enterpise, enterprise
webmaster, web master
informationist, information
services art, services
ser, services
realations, relations
deparement, department
sen, senior
senion, senior
seior, senior
secy, security
treat, treasurer
constultant, consultant
specialst, specialist
engneer , engineer
eng, engineer
ma , manager
man , manager
mana , manager
manf , manager
manda , manager
manag , manager
manage , manager
manger , manager
mangerr , manager
managers , manager
manufacuturing , manufacturing
manuf, manufacturing
masters , master
materials , material
mathematics , math
mathematical , math
mathematician , math
mathematics , math
tech, technology
techn , technology
tec , technology
traffc , traffic
net , network
acad , academic
serv , service
acct , account
acctg , accounting
accting , accounting
actg , acting
adj , adjunct
adm , admin
admn , admin
admnstr , administrator
administ, administrator
adt , adult
adv , advanced
advg , advertising
afl , affiliate
ag , agency
appl , apple
applic , application
asoc , associate
assc , associate
assoc, associate
assis , assistant
biomdcl , biomedical
biomed , biomedical
biopharm , biopharmacy
manuf , manufacturing
mgmt , management
mgment, management
rangement, management
managment, management
serv , service
servi, service
ofc, officer
tch, tech
dba, database administrator
capt, captain
sci, science
chi, chief
dept, department
intg, integration
meditech, medical technology
ap, accounts payable
agcy, agency
agt, agent
ac, account
bru, business recovery unit
b2b, business-to-business
b2c, business-to-consumer
b2g, business-to-government
busi, business
bldg, building
cao, chief accounting officer
cdm, change and data management
ceo, chief executive officer
coa, chart of account
cfa, chartered financial analyst
cfm, certified financial manager
cfo, chief financial officer
cia, certified internal auditor
cio, chief information officer
cisa, certified information systems auditor
cma, certified management accountant
cmo, chief marketing officer
corp, corporation
coo, chief operating officer
cpa, certified public accountant
cso, chief security officer
crm, customer relationship management
c2b, consumer-to-business
cto, chief technology officer
cio, chief information officer
cx, customer experience
dir, director
dsp, delivery service provider
fdp, finance department
finmin, finance minister
fsa, financial services authority
gl, general ledger
hr, human resources
hrd, human resource development
icrm, innovative customer relationship management
inc, incorporated
irs, internal revenue service
jst, joint supervisory team
mfg, manufacturing
mgmt, management
oem, original equipment manufacturer
pa, purchasing agent
scm, supply chain management
scba, social cost benefit analysis
var, value-added reseller
vad, value-added distributor
vc, venture capital
wfh, work from home
vp, vice president
v, vice
engg, engineer
svcs, services
sadety, safety
arhcitecture, architecture
its, information technology
ass t, assistant
acc, account
accnt, account
representive, representative
rec, receptionist
spec, specialist
